Data Table for Daily Case Trends - Florida
Date generated: Tue Dec 14 2021 15:16:56 GMT-1000 (Hawaii-Aleutian Standard Time)
State,Date,New Cases
Florida,Jun  1 2021,1241
Florida,May 31 2021,1238
Florida,May 30 2021,1293
Florida,May 29 2021,1445
Florida,May 28 2021,1979
Florida,May 27 2021,2310
Florida,May 26 2021,2276
Florida,May 25 2021,2308
Florida,May 24 2021,1872
Florida,May 23 2021,1574
Florida,May 22 2021,2021
Florida,May 21 2021,3297
Florida,May 20 2021,2313
Florida,May 19 2021,2861
Florida,May 18 2021,2827
Florida,May 17 2021,2751
Florida,May 16 2021,1961
Florida,May 15 2021,2411
Florida,May 14 2021,3256
Florida,May 13 2021,3531
Florida,May 12 2021,4004
Florida,May 11 2021,3146
Florida,May 10 2021,3238
Florida,May  9 2021,2266
Florida,May  8 2021,3171
Florida,May  7 2021,3924
Florida,May  6 2021,4249
Florida,May  5 2021,4582
Florida,May  4 2021,4373
Florida,May  3 2021,3653
Florida,May  2 2021,3129
Florida,May  1 2021,3868
Florida,Apr 30 2021,5358
Florida,Apr 29 2021,5258
Florida,Apr 28 2021,5641
Florida,Apr 27 2021,5096
Florida,Apr 26 2021,5214
Florida,Apr 25 2021,3550
Florida,Apr 24 2021,4666
Florida,Apr 23 2021,7251
Florida,Apr 22 2021,4853
Florida,Apr 21 2021,6601
Florida,Apr 20 2021,5537
Florida,Apr 19 2021,5606
Florida,Apr 18 2021,4271
Florida,Apr 17 2021,5850
Florida,Apr 16 2021,6281
Florida,Apr 15 2021,7218
Florida,Apr 14 2021,6701
Florida,Apr 13 2021,6666
Florida,Apr 12 2021,9023
Florida,Apr 11 2021,1636
Florida,Apr 10 2021,5501
Florida,Apr  9 2021,6743
Florida,Apr  8 2021,6979
Florida,Apr  7 2021,7713
Florida,Apr  6 2021,5770
Florida,Apr  5 2021,5435
Florida,Apr  4 2021,3517
Florida,Apr  3 2021,4782
Florida,Apr  2 2021,5821
Florida,Apr  1 2021,6314
Florida,Mar 31 2021,6963
Florida,Mar 30 2021,4950
Florida,Mar 29 2021,5091
Florida,Mar 28 2021,3565
Florida,Mar 27 2021,4824
Florida,Mar 26 2021,5649
Florida,Mar 25 2021,5818
